Threshold,Nodes,Edges,Density,Avg_Weighted_Degree,Modularity_Q
0.2,22,65,0.2813852813852814,4.55844361208865,0.4176564075038464
0.3,22,62,0.2683982683982684,4.491017995409824,0.42769719672289164
0.4,22,55,0.23809523809523808,4.268385683191466,0.46768802384019176
