Gene,APOE,TP53,HLA-DRB1,BDNF,SCN1A,PTEN,VEGFA,SCN5A,SLC2A1,PIK3CA,GBA,ACE,CACNA1C,GAD1,KCNQ1,MTHFR,GRIN1,AKT1,MECP2,TSC1,TSC2,SLC6A1
GBA,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
ACE,0.8531511614816524,0.10050378152592121,0.3015113445777637,0.9121593238215746,0.8257228238447706,0.10050378152592121,0.3015113445777637,0.8040302522073697,0.5642569264013865,0.10050378152592121,0.502518907629606,1.0,0.8040302522073697,0.0,0.8040302522073697,0.9447355463436594,0.0,0.502518907629606,0.502518907629606,0.10050378152592121,0.11834190384723511,0.0
CACNA1C,0.9701425001453318,0.0,0.0,0.7807200583588265,0.9128709291752769,0.0,0.0,1.0,0.07106690545187015,0.0,0.0,0.8040302522073697,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.02221673728514689,0.0
GAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNQ1,0.9701425001453318,0.0,0.0,0.7807200583588265,0.9128709291752769,0.0,0.0,1.0,0.07106690545187015,0.0,0.0,0.8040302522073697,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.02221673728514689,0.0
MTHFR,0.7761140001162654,0.0,0.0,0.7416840554408852,0.7302967433402215,0.0,0.0,0.8,0.6538155301572055,0.0,0.6000000000000001,0.9447355463436594,0.8,0.0,0.8,1.0000000000000002,0.0,0.6000000000000001,0.6000000000000001,0.0,0.017773389828117513,0.0
GRIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
MECP2,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
TSC1,0.0,1.0,0.0,0.09759000729485331,0.3651483716701107,1.0,0.0,0.0,0.07106690545187015,1.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99975317783161,0.0
TSC2,0.021553401054884413,0.99975317783161,0.0,0.1149109723474422,0.38533925856596607,0.99975317783161,0.0,0.02221673728514689,0.07262823933225833,0.99975317783161,0.0,0.11834190384723511,0.02221673728514689,0.0,0.02221673728514689,0.017773389828117513,0.0,0.0,0.0,0.99975317783161,1.0,0.0
SLC6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
