Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
CACNA1C,8,1,238,1,33,1,6,1,38,1,5,4,0.8754865861259709,0.5439704006983981,5,7.024662305834545e-05
EGFR,7,1,8223,1,6466,1,2778,1,43498,1,5,4,0.8908437730482748,0.5535123574297875,5,0.0009817907537127016
KCNQ1,7,1,926,1,267,1,12,1,87,1,5,4,0.818958030338409,0.508847234187384,5,0.0005294124964360107
GRIN1,7,1,11,1,4,1,4,1,14,1,5,4,1.4879950404153859,0.9245433010615208,5,0.0072539875287309956
GAD1,7,1,9,1,22,1,14,1,31,1,5,4,1.4694462443343779,0.9130182860623681,5,0.00739026106446778
LRRK2,7,1,17,1,62,1,96,1,113,1,5,4,1.3139564422312764,0.8164070400479505,5,0.004065350280383003
CLU,7,1,71,1,58,1,66,1,274,1,5,4,1.1942169066443018,0.7420086835398193,5,0.003501081065439447
RYR2,6,1,1166,1,83,1,25,1,63,1,5,4,0.5366004500815824,0.33340860553609825,5,3.115119544457264e-05
PSEN2,6,1,25,1,41,1,8,1,16,1,5,4,1.3927246595750742,0.8653484852166364,5,0.004231167394019902
SLC6A4,5,1,29,1,15,1,8,1,36,1,5,4,1.3932259902862125,0.8656599795012343,5,0.005363601147032179
TPH2,5,1,14,1,20,1,17,1,15,1,5,4,1.5345951233271216,0.9534975605279565,5,0.008362496198330608
TREM2,5,1,162,1,205,1,388,1,178,1,5,4,1.3440885574031314,0.8351291758563977,5,0.0018702183568035655
CR1,5,1,132,1,49,1,348,1,1337,1,5,4,0.8512704729832494,0.5289240836235771,5,0.0006381551796512409
FGFR3,5,1,219,1,59,1,25,1,1596,1,5,4,0.5768126749536141,0.3583938656454585,5,0.000520918674772589
PIK3CA,4,1,267,1,132,1,61,1,6207,1,5,4,0.3208822478382493,0.1993753504619198,5,5.312972478196771e-05
MYD88,4,1,1088,1,395,1,2409,1,1537,1,5,4,1.2357553350377883,0.7678179602273955,5,0.0017088035173468336
PINK1,4,1,394,1,332,1,212,1,393,1,5,4,1.3758358494186935,0.8548548774633319,5,0.007672034093481202
HBA1,4,1,357,1,1598,1,786,1,31,1,5,4,0.9985651402104898,0.6204434060461943,5,0.0002334873002744151
LPL,4,1,995,1,1811,1,225,1,660,1,5,4,1.188285201238291,0.7383231077495487,5,0.0028088279191935826
